[ 2012-06-01T23:51:45+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | INFO: Tag[ app_begin ] --START--
[ 2012-06-01T23:51:45+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004576s ]
[ 2012-06-01T23:51:45+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004960s ]
[ 2012-06-01T23:51:45+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Undefined index:  typeid HtmlAction.class.php 第 66 行.
[ 2012-06-01T23:51:45+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Undefined index:  startId HtmlAction.class.php 第 67 行.
[ 2012-06-01T23:51:45+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Undefined index:  endId HtmlAction.class.php 第 68 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.010278s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_archives` WHERE ( `id` = '13' ) LIMIT 1   [ RunTime:0.005728s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.010934s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.006439s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_archives` WHERE typeid=7 and id<13 ORDER BY id desc LIMIT 1   [ RunTime:0.001882s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.011156s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.005757s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_archives` WHERE typeid=7 and id>13 LIMIT 1   [ RunTime:0.001567s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009797s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.005992s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009879s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_arctype` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.005721s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SHOW COLUMNS FROM `myf_sys` [ RunTime:0.009073s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_sys` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.005971s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_sys` WHERE ( `id` = 2 ) LIMIT 1   [ RunTime:0.001326s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: UPDATE `myf_archives` SET `click`=click+1 WHERE id=13 [ RunTime:0.001032s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: UPDATE `myf_archives` SET `ishtml`=1 WHERE id=13 [ RunTime:0.000719s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | INFO: Tag[ view_template ] --START--
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | INFO: Run LocationTemplate Behavior [ RunTime:0.010118s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | INFO: Tag[ view_template ] --END-- [ RunTime:0.010405s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | INFO: Tag[ view_parse ] --START--
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Undefined index:  type TagLibMyfcms.class.php 第 75 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 87 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Undefined index:  type TagLibMyfcms.class.php 第 75 行.
