[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | INFO: Tag[ app_begin ] --START--
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001952s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002305s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  typedir BaseAction.class.php 第 28 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.010570s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | SQL: SELECT * FROM `myf_arctype` WHERE ( `id` = '7' ) LIMIT 1   [ RunTime:0.002914s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | SQL: SELECT * FROM `myf_arctype` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000744s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.009847s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | SQL: SELECT COUNT(*) AS tp_count FROM `myf_archives` WHERE typeid=7 LIMIT 1   [ RunTime:0.002900s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | INFO: Tag[ view_template ] --START--
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | INFO: Run LocationTemplate Behavior [ RunTime:0.001439s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001680s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | INFO: Tag[ view_parse ] --START--
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  type TagLibMyfcms.class.php 第 75 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 87 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  type TagLibMyfcms.class.php 第 75 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 87 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  type TagLibMyfcms.class.php 第 75 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 87 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  urltype TagLibMyfcms.class.php 第 168 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  flag TagLibMyfcms.class.php 第 185 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  noflag TagLibMyfcms.class.php 第 192 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  urltype TagLibMyfcms.class.php 第 168 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  flag TagLibMyfcms.class.php 第 185 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  noflag TagLibMyfcms.class.php 第 192 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  urltype TagLibMyfcms.class.php 第 119 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  pagesize TagLibMyfcms.class.php 第 148 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | SQL: SHOW COLUMNS FROM `myf_sys` [ RunTime:0.009230s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | SQL: SELECT * FROM `myf_sys` WHERE name='cfg_webname'  [ RunTime:0.003473s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant value - assumed 'value' 58eb7f6a6506a76b2a85b1d908309341.php 第 7 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | SQL: SELECT * FROM `myf_sys` WHERE name='cfg_description'  [ RunTime:0.000869s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant value - assumed 'value' 58eb7f6a6506a76b2a85b1d908309341.php 第 8 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | SQL: SELECT * FROM `myf_sys` WHERE name='cfg_keywords'  [ RunTime:0.000731s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant value - assumed 'value' 58eb7f6a6506a76b2a85b1d908309341.php 第 9 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=0 ORDER BY sortrank asc  [ RunTime:0.001962s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 58eb7f6a6506a76b2a85b1d908309341.php 第 27 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  protype 58eb7f6a6506a76b2a85b1d908309341.php 第 27 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 58eb7f6a6506a76b2a85b1d908309341.php 第 27 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  protype 58eb7f6a6506a76b2a85b1d908309341.php 第 27 行.
