[ 2012-05-14T07:10:54+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:10:54+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004629s ]
[ 2012-05-14T07:10:54+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005064s ]
[ 2012-05-14T07:10:56+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined offset:  1 WebCrawl.class.php 第 389 行.
[ 2012-05-14T07:12:52+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:12:52+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004495s ]
[ 2012-05-14T07:12:52+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004879s ]
[ 2012-05-14T07:13:03+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:13:03+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004583s ]
[ 2012-05-14T07:13:03+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004960s ]
[ 2012-05-14T07:13:04+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [2] preg_match_all() [<a href='function.preg-match-all'>function.preg-match-all</a>]: Unknown modifier '(' CollectAction.class.php 第 24 行.
[ 2012-05-14T07:17:11+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:17:11+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008479s ]
[ 2012-05-14T07:17:11+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008892s ]
[ 2012-05-14T07:18:14+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:18:14+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004363s ]
[ 2012-05-14T07:18:14+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004726s ]
[ 2012-05-14T07:18:32+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:18:32+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001885s ]
[ 2012-05-14T07:18:32+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002232s ]
[ 2012-05-14T07:18:33+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [2] preg_match_all() [<a href='function.preg-match-all'>function.preg-match-all</a>]: Unknown modifier 'l' CollectAction.class.php 第 24 行.
[ 2012-05-14T07:20:18+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:20:18+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004447s ]
[ 2012-05-14T07:20:18+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004828s ]
[ 2012-05-14T07:20:19+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [2] preg_match_all() [<a href='function.preg-match-all'>function.preg-match-all</a>]: Unknown modifier 'l' CollectAction.class.php 第 24 行.
[ 2012-05-14T07:25:10+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:25:10+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004749s ]
[ 2012-05-14T07:25:10+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005129s ]
[ 2012-05-14T07:25:10+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: m CollectAction.class.php 第 26 行.
[ 2012-05-14T07:30:49+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:30:49+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004656s ]
[ 2012-05-14T07:30:49+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005062s ]
[ 2012-05-14T07:30:50+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: m CollectAction.class.php 第 27 行.
[ 2012-05-14T07:37:15+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:37:15+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004399s ]
[ 2012-05-14T07:37:15+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004762s ]
[ 2012-05-14T07:37:15+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: m CollectAction.class.php 第 25 行.
[ 2012-05-14T07:39:55+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:39:55+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007149s ]
[ 2012-05-14T07:39:55+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007542s ]
[ 2012-05-14T07:39:55+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: m CollectAction.class.php 第 25 行.
[ 2012-05-14T07:48:35+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | ERR: (ThinkException) Action:strlen您所请求的方法不存在！
[ 2012-05-14T07:48:45+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:48:45+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004430s ]
[ 2012-05-14T07:48:45+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004824s ]
[ 2012-05-14T07:48:46+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: m CollectAction.class.php 第 25 行.
[ 2012-05-14T07:49:18+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:49:18+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.024873s ]
[ 2012-05-14T07:49:18+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.025355s ]
[ 2012-05-14T07:50:31+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:50:31+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001883s ]
[ 2012-05-14T07:50:31+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002232s ]
[ 2012-05-14T07:52:23+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:52:23+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004414s ]
[ 2012-05-14T07:52:23+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004793s ]
[ 2012-05-14T07:52:24+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: start_posa CollectAction.class.php 第 28 行.
[ 2012-05-14T07:52:45+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:52:45+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004352s ]
[ 2012-05-14T07:52:45+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004725s ]
[ 2012-05-14T07:52:46+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: start_posa CollectAction.class.php 第 28 行.
[ 2012-05-14T07:54:10+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:54:10+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005525s ]
[ 2012-05-14T07:54:10+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005937s ]
[ 2012-05-14T07:54:11+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: start_posa CollectAction.class.php 第 28 行.
[ 2012-05-14T07:55:05+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:55:05+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004363s ]
[ 2012-05-14T07:55:05+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004720s ]
[ 2012-05-14T07:55:05+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: start_posa CollectAction.class.php 第 28 行.
[ 2012-05-14T07:55:21+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:55:21+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001878s ]
[ 2012-05-14T07:55:21+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002219s ]
[ 2012-05-14T07:55:21+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: start_posa CollectAction.class.php 第 28 行.
[ 2012-05-14T07:55:57+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:55:57+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001885s ]
[ 2012-05-14T07:55:57+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002228s ]
[ 2012-05-14T07:55:57+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: start_posa CollectAction.class.php 第 28 行.
[ 2012-05-14T07:56:15+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:56:15+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001875s ]
[ 2012-05-14T07:56:15+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002220s ]
[ 2012-05-14T07:56:26+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:56:26+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005885s ]
[ 2012-05-14T07:56:26+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006327s ]
[ 2012-05-14T07:56:37+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:56:37+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001982s ]
[ 2012-05-14T07:56:37+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002363s ]
[ 2012-05-14T07:56:53+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:56:53+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001921s ]
[ 2012-05-14T07:56:53+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002274s ]
[ 2012-05-14T07:58:54+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T07:58:54+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004476s ]
[ 2012-05-14T07:58:54+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004854s ]
[ 2012-05-14T08:04:57+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T08:04:57+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004346s ]
[ 2012-05-14T08:04:57+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004725s ]
[ 2012-05-14T08:06:32+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T08:06:32+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006713s ]
[ 2012-05-14T08:06:32+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007093s ]
[ 2012-05-14T08:06:49+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T08:06:49+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001947s ]
[ 2012-05-14T08:06:49+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002295s ]
[ 2012-05-14T08:08:18+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T08:08:18+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001950s ]
[ 2012-05-14T08:08:18+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002513s ]
[ 2012-05-14T08:08:30+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T08:08:30+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004353s ]
[ 2012-05-14T08:08:30+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004735s ]
[ 2012-05-14T08:09:34+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T08:09:34+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004495s ]
[ 2012-05-14T08:09:34+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004855s ]
[ 2012-05-14T08:10:43+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T08:10:43+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.009840s ]
[ 2012-05-14T08:10:43+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010229s ]
[ 2012-05-14T08:11:35+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T08:11:35+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004527s ]
[ 2012-05-14T08:11:35+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004890s ]
[ 2012-05-14T08:13:08+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T08:13:08+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.009518s ]
[ 2012-05-14T08:13:08+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009913s ]
[ 2012-05-14T08:14:59+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T08:14:59+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002421s ]
[ 2012-05-14T08:14:59+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002849s ]
[ 2012-05-14T08:17:41+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --START--
[ 2012-05-14T08:17:41+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005281s ]
[ 2012-05-14T08:17:41+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005654s ]
[ 2012-05-14T08:17:42+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: url CollectAction.class.php 第 56 行.
[ 2012-05-14T08:17:42+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined offset:  0 Snoopy.class.php 第 751 行.
[ 2012-05-14T08:17:42+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined index:  scheme Snoopy.class.php 第 755 行.
[ 2012-05-14T08:17:42+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined index:  host Snoopy.class.php 第 755 行.
[ 2012-05-14T08:17:42+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined variable: url CollectAction.class.php 第 56 行.
[ 2012-05-14T08:17:42+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined offset:  0 Snoopy.class.php 第 751 行.
[ 2012-05-14T08:17:42+08:00 ] /myfcms/admin/index.php?m=Collect&a=add_node | NOTIC: [8] Undefined index:  scheme Snoopy.class.php 第 755 行.
